938,Jakavi,Ruxolitinibum,tabletki,5 mg,"14 tabl.
56 tabl.
60 tabl.
168 tabl.","5909991053741
5909991053758
5909991000899
5909991053765","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
939,Jakavi,Ruxolitinibum,tabletki,10 mg,"14 tabl.
56 tabl.
60 tabl.
168 tabl.","5909991198305
5909991198282
5909991198299
5909991198312","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
940,Jakavi,Ruxolitinibum,tabletki,15 mg,"14 tabl.
56 tabl.
60 tabl.
168 tabl.","5909991053772
5909991053789
5909991000905
5909991053796","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
941,Jakavi,Ruxolitinibum,tabletki,20 mg,"14 tabl.
56 tabl.
60 tabl.
168 tabl.","5909991053802
5909991053833
5909991000929
5909991053840","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
942,Jalra,Vildagliptinum,tabletka,50 mg,"7 tabl.
14 tabl.
28 tabl.
30 tabl.
56 tabl.
60 tabl.
90 tabl.
112 tabl.
180 tabl.
336 tabl.","5909990910854
5909990910861
5909990910878
5909990910885
5909990910892
5909990910908
5909990910922
5909990910939
5909990910946
5909990910953","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
943,Janumet,"Sitagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"50 mg + 850
mg","14 tabl.
28 tabl.
50 tabl.
56 tabl.
112 tabl.
168 tabl. w blistrze
168 tabl. (opakowanie złożone)
196 tabl.","5909990929184
5909990929191
5909990929740
5909990929207
5909990929245
5909990929252
5901549324259
5909990929733","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
944,Janumet,"Sitagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"50 mg + 1000
mg","14 tabl.
28 tabl.
50 tabl.
56 tabl.
112 tabl.
168 tabl. w blistrze
168 tabl. (opakowanie złożone)
196 tabl.","5909990929757
5909990929764
5909990929825
5909990929771
5909990929788
5909990929795
5901549324266
5909990929801","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
945,Januvia,Sitagliptinum,tabletki powlekane,25 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.","5901549324273
5909990055890
5901549324310
5901549324280
5901549324297
5901549324303","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
(Italia) S.p.A.
Merck Sharp & Dohme
B.V.
Merck Sharp & Dohme
Ltd.","IT
NL
GB"
946,Januvia,Sitagliptinum,tabletki powlekane,50 mg,"28 tabl.
50 tabl.
56 tabl.
84 tabl.
98 tabl.
14 tabl.
30 tabl.
90 tabl.","5909990055906
5901549324365
5901549324334
5901549324341
5901549324358
5901549324327","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
(Italia) S.p.A.
Merck Sharp & Dohme
Ltd.
Merck Sharp & Dohme
B.V.","IT
GB
NL"
947,Januvia,Sitagliptinum,tabletki powlekane,100 mg,"28 tabl.
50 tabl.
56 tabl.
84 tabl.
98 tabl.
14 tabl.
30 tabl.
90 tabl.","5909990055920
5901549324419
5901549324389
5901549324396
5901549324402
5901549324372","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
(Italia) S.p.A.
Merck Sharp & Dohme
B.V.
Merck Sharp & Dohme
Ltd.","IT
NL
GB"
948,Jardiance,Empagliflozinum,tabletki powlekane,10 mg,"7 tabl.
10 tabl.
14 tabl.
28 tabl.
30 tabl.
60 tabl.
70 tabl.
90 tabl.
100 tabl.","5909991138479
5909991138486
5909991138493
5909991138509
5909991138516
5909991138523
5909991138530
5909991138547
5909991138554","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
949,Jardiance,Empagliflozinum,tabletki powlekane,25 mg,"7 tabl.
10 tabl.
14 tabl.
28 tabl.
30 tabl.
60 tabl.
70 tabl.
90 tabl.
100 tabl.","5909991138387
5909991138394
5909991138400
5909991138417
5909991138424
5909991138431
5909991138448
5909991138455
5909991138462","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
950,Javlor,Vinfluninum,"koncentrat do
sporządzania roztworu do
infuzji",25 mg/ml,"1 fiol. 2 ml
10 fiol. 2 ml
1 fiol. 4 ml
10 fiol. 4 ml
1 fiol. 10 ml
10 fiol. 10 ml","5909990733217
5909990733224
5909990733231
5909990733248
5909990733255
5909990733262","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Pierre Fabre Medicament,"Pierre Fabre Medicament
Production",FR
951,Jentadueto,"Linagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"2,5 mg + 850
mg","10 tabl.
14 tabl. w blistrze perforowanym
14 tabl. w butelce
28 tabl.
30 tabl.
56 tabl.
60 tabl. w blistrze perforowanym
60 tabl. w butelce
84 tabl.
90 tabl.
98 tabl.
100 tabl.
120 tabl.
120 tabl. (2 x 60 x 1)
180 tabl.
180 tabl. (2 x 90 x 1)
200 tabl. (2 x 100 x 1)","5909990992843
5909990992850
5909990992966
5909990992867
5909990992874
5909990992881
5909990992898
5909990992973
5909990992904
5909990992928
5909990992935
5909990992942
5909990992959
5909991028947
5909990992980
5909991028954
5909991028961","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG
Boehringer Ingelheim
Ellas AE","DE
GR"
952,Jentadueto,"Linagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"2,5 mg +
1000 mg","10 tabl.
14 tabl. w blistrze perforowanym
14 tabl. w butelce
28 tabl.
30 tabl.
56 tabl.
60 tabl. w blistrze perforowanym
60 tabl. w butelce
84 tabl.
90 tabl.
98 tabl.
100 tabl.
120 tabl.
120 tabl. (2 x 60 x 1)
180 tabl.
180 tabl. (2 x 90 x 1)
200 tabl. (2 x 100 x 1)","5909990992997
5909990993000
5909990993123
5909990993024
5909990993031
5909990993048
5909990993055
5909990993130
5909990993062
5909990993079
5909990993086
5909990993093
5909990993109
5909991028978
5909990993147
5909991028985
5909991028992","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG
Boehringer Ingelheim
Ellas AE","DE
GR"
953,Jetrea,Ocriplasminum,"koncentrat do
sporządzania roztworu do
wstrzykiwań","0,5 mg/0,2 ml","1 fiol. 0,2 ml",5909991056889,Rpz,ThromboGenics NV,"ThromboGenics NV
S.A. Alcon-Couvreur
N.V.","BE
BE"
954,Jetrea,Ocriplasminum,roztwór do wstrzykiwań,"0,375 mg/0,3
ml","1 fiol. 0,3 ml",5909991221744,Rpz,ThromboGenics NV,"ThromboGenics NV
s.a. Alcon-Couvreur n.v.","BE
BE"
955,Jevtana,Cabazitaxelum,"koncentrat i
rozpuszczalnik do
sporządzania roztworu do
infuzji","60 mg/1,5 ml",1 fiol. 15 ml,5909990850501,Rpz,Sanofi-Aventis Groupe,"Aventis Pharma
Dagenham
Sanofi-Aventis
Deutschland GmbH","GB
DE"
956,Jinarc,Tolvaptanum,tabletki,15 mg,"7 tabl.
28 tabl.",,"Rpz
Rpz","Otsuka Pharmaceutical
Europe Ltd.","AndersonBrecon (UK)
Limited
Almac Pharma Services
Ltd.","GB
GB"
957,Jinarc,Tolvaptanum,tabletki,15 mg; 45 mg,"14 tabl.
28 tabl.
56 tabl.",,"Rpz
Rpz
Rpz","Otsuka Pharmaceutical
Europe Ltd.","AndersonBrecon (UK)
Limited
Almac Pharma Services
Ltd.","GB
GB"
958,Jinarc,Tolvaptanum,tabletki,30 mg,"7 tabl.
28 tabl.",,"Rpz
Rpz","Otsuka Pharmaceutical
Europe Ltd.","AndersonBrecon (UK)
Limited
Almac Pharma Services
Ltd.","GB
GB"
959,Jinarc,Tolvaptanum,tabletki,30 mg; 60 mg,"14 tabl.
28 tabl.
56 tabl.",,"Rpz
Rpz
Rpz","Otsuka Pharmaceutical
Europe Ltd.","AndersonBrecon (UK)
Limited
Almac Pharma Services
Ltd.","GB
GB"
960,Jinarc,Tolvaptanum,tabletki,30 mg; 90 mg,"14 tabl.
28 tabl.
56 tabl.",,"Rpz
Rpz
Rpz","Otsuka Pharmaceutical
Europe Ltd.","AndersonBrecon (UK)
Limited
Almac Pharma Services
Ltd.","GB
GB"
961,Kadcyla,"Trastuzumabum
emtansinum","proszek do sporządzania
koncentratu roztworu do
infuzji",100 mg,1 fiol. proszku,5902768001044,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
962,Kadcyla,"Trastuzumabum
emtansinum","proszek do sporządzania
koncentratu roztworu do
infuzji",160 mg,1 fiol. proszku,5902768001051,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
963,Kaletra,"Lopinavirum +
Ritonavirum",roztwór doustny,"(80 mg + 20
mg)/ml",5 butelek 60 ml + 5 strzyk.,5909990941919,Rp,AbbVie Ltd,"Aesica Queenborough
Limited",GB
964,Kaletra,"Lopinavirum +
Ritonavirum",tabletki powlekane,"100 mg + 25
mg",60 tabl.,5909990643608,Rp,AbbVie Ltd,"Aesica Queenborough
Limited
AbbVie Deutschland
GmbH & Co. KG","GB
DE"
965,Kaletra,"Lopinavirum +
Ritonavirum",tabletki powlekane,"200 mg + 50
mg","120 tabl.
120 tabl.
360 tabl.
120 tabl.","5909990612987
5909990612994
5909990732647","Rp
Rp
Rp
Rp",AbbVie Ltd,"Aesica Queenborough
Limited
AbbVie Deutschland
GmbH & Co. KG
Fournier Laboratories
Ireland Limited","GB
DE
IE"
966,Kalydeco,Ivacaftorum,tabletki powlekane,150 mg,"56 tabl. w blistrze
56 tabl. w butelce","5909991200725
5909991200718","Rpz
Rpz","Vertex Pharmaceuticals
(U.K.) Limited","Almac Pharma Services
Ltd.",GB
967,Kanuma,Sebelipazum alfa,"koncentrat do
sporządzania roztworu do
infuzji",2 mg/ml,1 fiol. 10 ml,,Rpz,Alexion Europe SAS,"Almac Pharma Services
Ltd.",GB
968,Karvea,Irbesartanum,tabletki,75 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
969,Karvea,Irbesartanum,tabletki,150 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
970,Karvea,Irbesartanum,tabletki,300 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
971,Karvea,Irbesartanum,tabletki powlekane,75 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
972,Karvea,Irbesartanum,tabletki powlekane,150 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
973,Karvea,Irbesartanum,tabletki powlekane,300 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
974,Karvezide,"Irbesartanum +
Hydrochlorothiazidum",tabletki,"150 mg +
12,5 mg","14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
975,Karvezide,"Irbesartanum +
Hydrochlorothiazidum",tabletki,"300 mg +
12,5 mg","14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
976,Karvezide,"Irbesartanum +
Hydrochlorothiazidum",tabletki powlekane,"150 mg +
12,5 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
977,Karvezide,"Irbesartanum +
Hydrochlorothiazidum",tabletki powlekane,"300 mg +
12,5 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
978,Karvezide,"Irbesartanum +
Hydrochlorothiazidum",tabletki powlekane,"300 mg + 25
mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Aventis Groupe,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
979,Kengrexal,Cangrelorum,"proszek do sporządzania
koncentratu roztworu do
wstrzykiwań lub infuzji",50 mg,10 fiol.,,Rpz,"The Medicines Company
UK Ltd",Halsa Pharma GmbH,DE
980,Kentera,Oxybutyninum,system transdermalny,"3,9 mg/24 h","2 szt.
24 szt.
8 szt.",,"Rp
Rp
Rp",Nicobrand Limited,Nicobrand Limited,GB
981,Kentera,Oxybutyninum,żel,"90,7 mg/g (4
mg/24h)","1 zestaw
30 sasz. 1 g",,"Rp
Rp",Nicobrand Limited,Nicobrand Limited,GB
982,Keppra,Levetiracetamum,"koncentrat do
sporządzania roztworu do
infuzji",100 mg/ml,10 fiol. 5 ml,5909990610891,Rp,UCB Pharma S.A.,"UCB Pharma S.A.
Aesica Pharmaceuticals
S.r.l.","BE
IT"
983,Keppra,Levetiracetamum,roztwór doustny,100 mg/ml,"1 butelka 150 ml +
strzykawka 3 ml
1 butelka 150 ml +
strzykawka 1 ml
1 butelka 300 ml +
1 strzykawka 10 ml","5909990729975
5909990729982
5909990006755","Rp
Rp
Rp",UCB Pharma S.A.,NextPharma SAS,FR
984,Keppra,Levetiracetamum,tabletki powlekane,250 mg,"20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.
100 tabl. (100 x 1)
200 tabl.","5909990006496
5909990006502
5909990901111
5909990006533
5909990901128
5909990021871","Rp
Rp
Rp
Rp
Rp
Rp
Rp",UCB Pharma S.A.,"Aesica Pharmaceuticals
S.r.l.
UCB Pharma S.A.","IT
BE"
985,Keppra,Levetiracetamum,tabletki powlekane,500 mg,"10 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl. (100 x 1)
100 tabl.
120 tabl.
200 tabl.","5909990006540
5909990006557
5909990006564
5909990901210
5909990006571
5909990901227
5909990006588
5909990901234","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",UCB Pharma S.A.,"Aesica Pharmaceuticals
S.r.l.
UCB Pharma S.A.","IT
BE"
986,Keppra,Levetiracetamum,tabletki powlekane,750 mg,"20 tabl.
30 tabl.
50 tabl.
60 tabl.
80 tabl.
100 tabl.
200 tabl.","5909990006595
5909990006601
5909990006649
5909990006656
5909990006663
5909990006670
5909990021888","Rp
Rp
Rp
Rp
Rp
Rp
Rp",UCB Pharma S.A.,"UCB Pharma S.A.
Aesica Pharmaceuticals
S.r.l.","BE
IT"
987,Keppra,Levetiracetamum,tabletki powlekane,1000 mg,"10 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl. (100 x 1)
100 tabl.
200 tabl.","5909990006687
5909990006694
5909990006700
5909990901319
5909990006748
5909990901326
5909990901333","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",UCB Pharma S.A.,"UCB Pharma S.A.
Aesica Pharmaceuticals
S.r.l.","BE
IT"
988,Ketek,Telithromycinum,tabletki powlekane,400 mg,"10 tabl.
14 tabl.
20 tabl.
100 tabl.
10 tabl. ( 2 x 5)","5909990928712
5909990928729
5909990211203
5909990211227
5909990211241","Rp
Rp
Rp
Rp
Rp",Aventis Pharma S.A.,S.C. Zentiva S.A.,RO
989,Ketoconazole HRA,Ketoconazolum,tabletki,200 mg,60 tabl.,5909991228811,Rpz,Laboratoire HRA Pharma,Polfarmex S.A.,PL
990,Keytruda,Pembrolizumabum,"proszek do sporządzania
koncentratu roztworu do
infuzji",50 mg,1 fiol.,5901549325003,Rpz,"Merck Sharp & Dohme
Ltd.","Schering-Plough Labo
L.V.",BE
991,Kineret,Anakinrum,roztwór do wstrzykiwań,"100 mg/0,67
ml","1 amp.-strzyk. 0,67 ml
1 amp.-strzyk. 0,67 ml z
podziałką
7 amp.-strzyk. 0,67 ml z
podziałką
7 amp.-strzyk. 0,67 ml
28 amp.-strzyk. 0,67 ml
28 amp.-strzyk. 0,67 ml z
podziałką","5909990007547
5909991138592
5909991138608
5909990007554
5909990007561
5909991138615","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","Swedish Orphan Biovitrum
AB","Swedish Orphan
Biovitrum AB",SE
992,Kinzalkomb,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"40 mg + 12,5
mg","14 tabl.
28 tabl.
28 tabl. (28 x 1)
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
993,Kinzalkomb,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 12,5
mg","14 tabl.
28 tabl.
28 tabl. (28 x 1)
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
994,Kinzalkomb,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 25
mg","14 tabl.
28 tabl.
28 tabl.
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
995,Kinzalmono,Telmisartanum,tabletki,20 mg,"14 tabl.
28 tabl.
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
996,Kinzalmono,Telmisartanum,tabletki,40 mg,"14 tabl.
28 tabl. w blistrze
28 tabl. w blistrze perforowanym
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
997,Kinzalmono,Telmisartanum,tabletki,80 mg,"14 tabl.
28 tabl. w blistrze
28 tabl. w blistrze perforowanym
56 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
998,Kiovig,"Immunoglobulinum
humanum normale","roztwór do wlewów
dożylnych",100 mg/ml,"1 fiol. 10 ml
1 fiol. 25 ml
1 fiol. 50 ml
1 fiol. 100 ml
1 fiol. 200 ml
1 fiol. 300 ml","5909990425143
5909990425150
5909990425167
5909990425174
5909990425181
5909990782208","Rp
Rp
Rp
Rp
Rp
Rp",Baxter AG,Baxter S.A.,BE
999,Kisplyx,Lenvatinibum,kapsułki twarde,4 mg,30 kaps.,,Rpz,Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
1000,Kisplyx,Lenvatinibum,kapsułki twarde,10 mg,30 kaps.,,Rpz,Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
1001,Kivexa,"Abacavirum +
Lamivudinum",tabletki powlekane,"600 mg + 300
mg","30 tabl. w blistrach
90 tabl.
30 tabl. w butelce","5909990223275
5909990223268","Rpz
Rpz
Rpz",ViiV Healthcare UK Ltd.,"Glaxo Operations UK Ltd
(t/a Glaxo Wellcome
Operations)
Glaxo Wellcome S.A.","GB
ES"
1002,Kogenate Bayer,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",1000 j.m.,"1 zestaw (1 fiol. + 1 amp.-strzyk.
+ 1 łącznik fiolki)
1 zestaw (1 fiol. proszku + 1
amp.-strzyk. + 1 zestaw)","5909990020799
5909990009886","Rpz
Rpz",Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
1003,Kogenate Bayer,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 j.m.,"1 zestaw (1 fiol. proszku + 1
amp.-strzyk. + 1 zestaw)
1 zestaw (1 fiol. + 1 amp.-strzyk.
+ 1 łącznik fiolki)","5909990009794
5909990020775","Rpz
Rpz",Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
1004,Kogenate Bayer,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",500 j.m.,"1 zestaw (1 fiol. + 1 amp.-strzyk.
+ 1 łącznik fiolki)
1 zestaw (1 fiol. proszku + 1
amp.-strzyk. + 1 zestaw)","5909990020782
5909990009800","Rpz
Rpz",Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
1005,Kogenate Bayer,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",2000 j.m.,"1 zestaw (1 fiol. proszku + 1
amp.-strzyk. + 1 zestaw Bioset)
1 zestaw (1 fiol. + 1 amp.-strzyk.
+ 1 łącznik fiolki)","5909990635160
5909990635153","Rpz
Rpz",Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
1006,Kogenate Bayer,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",3000 j.m.,"1 zestaw (1 fiol. proszku + 1
amp.-strzyk. + 1 zestaw Bioset)
1 zestaw (1 fiol. + 1 amp.-strzyk.
+ 1 łącznik fiolki)","5909990816354
5909990816361","Rpz
Rpz",Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
1007,Komboglyze,"Saxagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"2,5 mg + 850
mg","14 tabl.
28 tabl.
56 tabl.
60 tabl.
112 tabl.
196 tabl.","5909991004651
5909990916627
5909990916634
5909990916641
5909990916658
5909990916665","Rp
Rp
Rp
Rp
Rp
Rp",AstraZeneca AB,"Bristol-Myers Squibb
S.R.L.
AstraZeneca GmbH
AstraZeneca UK Ltd.","IT
DE
GB"
1008,Komboglyze,"Saxagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"2,5 mg +
1000 mg","14 tabl.
28 tabl.
56 tabl.
60 tabl.
112 tabl.
196 tabl.","5909991004668
5909990916672
5909990916689
5909990916696
5909990916702
5909990916733","Rp
Rp
Rp
Rp
Rp
Rp",AstraZeneca AB,"Bristol-Myers Squibb
S.R.L.
AstraZeneca UK Ltd.
AstraZeneca GmbH","IT
GB
DE"
1009,Kovaltry,"Octocogum alfa
(czynnik krzepnięcia VIII
ludzki rDNA)","proszek i rozpuszczalnik
do sporządzania roztworu
do infuzji",500 j.m.,"1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania
1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania",,"Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
1010,Kovaltry,"Octocogum alfa
(czynnik krzepnięcia VIII
ludzki rDNA)","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 j.m.,"1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania
1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania",,"Rpz
Rpz",Bayer Pharma AG,Bayer HealthCare AG,DE
1011,Kovaltry,"Octocogum alfa
(czynnik krzepnięcia VIII
ludzki rDNA)","proszek i rozpuszczalnik
do sporządzania roztworu
do infuzji",1000 j.m.,"1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania
1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania",,"Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
1012,Kovaltry,"Octocogum alfa
(czynnik krzepnięcia VIII
ludzki rDNA)","proszek i rozpuszczalnik
do sporządzania roztworu
do infuzji",2000 j.m.,"1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania
1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania",,"Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
1013,Kovaltry,"Octocogum alfa
(czynnik krzepnięcia VIII
ludzki rDNA)","proszek i rozpuszczalnik
do sporządzania roztworu
do infuzji",3000 j.m.,"1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania
1 fiol. proszku + 1 amp.-strzyk.
rozp. + zestaw do sporządzania
i podania",,"Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
1014,Kuvan,Sapropterinum,"tabletki do sporządzania
roztworu doustnego",100 mg,"30 tabl.
120 tabl.
240 tabl.","5909990678693
5909990678709
5909990678716","Rpz
Rpz
Rpz","Merck Serono Europe
Limited","Merck KGaA
Merck KGaA & Co. Werk
Spittal","DE
AT"
1015,Kyprolis,Carfilzomibum,"proszek do sporządzania
roztworu do infuzji",10 mg,1 fiol. proszku,5909991298463,Rpz,Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
